"","","","","","","X.Intercept."
"1","1","30","hn","0.7","p","0.722687408102295"
"2","1","30","hn","0.7","b0","-0.408493398615334"
"3","1","30","hn","0.7","cov1",NA
"4","1","30","hn","0.7","cov2",NA
"5","1","30","hn","0.7","aic","-0.871371477459159"
"6","1","30","hn","0.7","varp","0.122364276186617"
"7","1","30","hn+cov1","0.7","p","0.70975579006109"
"8","1","30","hn+cov1","0.7","b0","-0.465410411095773"
"9","1","30","hn+cov1","0.7","cov1","0.28234057411222"
"10","1","30","hn+cov1","0.7","cov2",NA
"11","1","30","hn+cov1","0.7","aic","0.425660117636435"
"12","1","30","hn+cov1","0.7","varp","0.120775474987338"
"13","1","30","hn+cov1+cov2","0.7","p","0.654208640148143"
"14","1","30","hn+cov1+cov2","0.7","b0","-1.03017150501941"
"15","1","30","hn+cov1+cov2","0.7","cov1","-0.654733280692272"
"16","1","30","hn+cov1+cov2","0.7","cov2","1.81973283201302"
"17","1","30","hn+cov1+cov2","0.7","aic","-1.28206973032389"
"18","1","30","hn+cov1+cov2","0.7","varp","0.172319054297487"
"19","2","30","hn","0.7","p","0.660065772123896"
"20","2","30","hn","0.7","b0","-0.556754282083432"
"21","2","30","hn","0.7","cov1",NA
"22","2","30","hn","0.7","cov2",NA
"23","2","30","hn","0.7","aic","-2.84046483273758"
"24","2","30","hn","0.7","varp","0.10423703691729"
"25","2","30","hn+cov1","0.7","p","0.641338632552287"
"26","2","30","hn+cov1","0.7","b0","-0.606382674869592"
"27","2","30","hn+cov1","0.7","cov1","0.521318023648002"
"28","2","30","hn+cov1","0.7","cov2",NA
"29","2","30","hn+cov1","0.7","aic","-2.69595410108106"
"30","2","30","hn+cov1","0.7","varp","0.112821770241403"
"31","2","30","hn+cov1+cov2","0.7","p","0.639640149283526"
"32","2","30","hn+cov1+cov2","0.7","b0","-0.560971979870291"
"33","2","30","hn+cov1+cov2","0.7","cov1","0.620462628956481"
"34","2","30","hn+cov1+cov2","0.7","cov2","-0.150344320614915"
"35","2","30","hn+cov1+cov2","0.7","aic","-0.713494498905558"
"36","2","30","hn+cov1+cov2","0.7","varp","0.113903220562754"
"37","1","30","hn","0.8","p","0.600073500206097"
"38","1","30","hn","0.8","b0","-0.688966998639427"
"39","1","30","hn","0.8","cov1",NA
"40","1","30","hn","0.8","cov2",NA
"41","1","30","hn","0.8","aic","-5.52123226982567"
"42","1","30","hn","0.8","varp","0.0945530933346016"
"43","1","30","hn+cov1","0.8","p","0.575233062847729"
"44","1","30","hn+cov1","0.8","b0","-0.601630152112507"
"45","1","30","hn+cov1","0.8","cov1","-0.465640410548983"
"46","1","30","hn+cov1","0.8","cov2",NA
"47","1","30","hn+cov1","0.8","aic","-5.80259157839322"
"48","1","30","hn+cov1","0.8","varp","0.102991081067386"
"49","1","30","hn+cov1+cov2","0.8","p","0.570836567471341"
"50","1","30","hn+cov1+cov2","0.8","b0","-0.727791199557395"
"51","1","30","hn+cov1+cov2","0.8","cov1","-0.656784158145235"
"52","1","30","hn+cov1+cov2","0.8","cov2","0.329357919263311"
"53","1","30","hn+cov1+cov2","0.8","aic","-3.84132946138496"
"54","1","30","hn+cov1+cov2","0.8","varp","0.100321046481909"
"55","2","30","hn","0.8","p","0.434941181230824"
"56","2","30","hn","0.8","b0","-1.05420749833292"
"57","2","30","hn","0.8","cov1",NA
"58","2","30","hn","0.8","cov2",NA
"59","2","30","hn","0.8","aic","-19.0751481665091"
"60","2","30","hn","0.8","varp","0.0479532291162161"
"61","2","30","hn+cov1","0.8","p","0.379088381717779"
"62","2","30","hn+cov1","0.8","b0","-1.14757028461628"
"63","2","30","hn+cov1","0.8","cov1","-0.46424257069472"
"64","2","30","hn+cov1","0.8","cov2",NA
"65","2","30","hn+cov1","0.8","aic","-23.3843434094872"
"66","2","30","hn+cov1","0.8","varp","0.0603460571084593"
"67","2","30","hn+cov1+cov2","0.8","p","0.341510016402709"
"68","2","30","hn+cov1+cov2","0.8","b0","-0.842772774045396"
"69","2","30","hn+cov1+cov2","0.8","cov1","0.232045951667308"
"70","2","30","hn+cov1+cov2","0.8","cov2","-1.02401800761141"
"71","2","30","hn+cov1+cov2","0.8","aic","-24.7472867537048"
"72","2","30","hn+cov1+cov2","0.8","varp","0.0723943315833191"
"73","1","30","hn","0.9","p","0.587932369733893"
"74","1","30","hn","0.9","b0","-0.715171036940438"
"75","1","30","hn","0.9","cov1",NA
"76","1","30","hn","0.9","cov2",NA
"77","1","30","hn","0.9","aic","-6.1792817868638"
"78","1","30","hn","0.9","varp","0.0929552417773662"
"79","1","30","hn+cov1","0.9","p","0.58578991888444"
"80","1","30","hn+cov1","0.9","b0","-0.713205226444909"
"81","1","30","hn+cov1","0.9","cov1","0.113685748142971"
"82","1","30","hn+cov1","0.9","cov2",NA
"83","1","30","hn+cov1","0.9","aic","-4.38205127059592"
"84","1","30","hn+cov1","0.9","varp","0.0954044464283401"
"85","1","30","hn+cov1+cov2","0.9","p","0.58179978652061"
"86","1","30","hn+cov1+cov2","0.9","b0","-0.609616770169321"
"87","1","30","hn+cov1+cov2","0.9","cov1","0.694007383044109"
"88","1","30","hn+cov1+cov2","0.9","cov2","-0.683686993567384"
"89","1","30","hn+cov1+cov2","0.9","aic","-2.709953808053"
"90","1","30","hn+cov1+cov2","0.9","varp","0.0930529192883066"
"91","2","30","hn","0.9","p","0.736031791734462"
"92","2","30","hn","0.9","b0","-0.374672218226974"
"93","2","30","hn","0.9","cov1",NA
"94","2","30","hn","0.9","cov2",NA
"95","2","30","hn","0.9","aic","-0.540652930821845"
"96","2","30","hn","0.9","varp","0.118416488043107"
"97","2","30","hn+cov1","0.9","p","0.635058360396159"
"98","2","30","hn+cov1","0.9","b0","0.243684751381479"
"99","2","30","hn+cov1","0.9","cov1","-1.8362996061382"
"100","2","30","hn+cov1","0.9","cov2",NA
"101","2","30","hn+cov1","0.9","aic","-4.96309866528961"
"102","2","30","hn+cov1","0.9","varp","0.107038467952074"
"103","2","30","hn+cov1+cov2","0.9","p","0.628947586334429"
"104","2","30","hn+cov1+cov2","0.9","b0","0.232542202805849"
"105","2","30","hn+cov1+cov2","0.9","cov1","-1.48513898290786"
"106","2","30","hn+cov1+cov2","0.9","cov2","-0.295922642774007"
"107","2","30","hn+cov1+cov2","0.9","aic","-3.0659913242996"
"108","2","30","hn+cov1+cov2","0.9","varp","0.108271324577652"
"109","1","60","hn","0.7","p","0.470542791102759"
"110","1","60","hn","0.7","b0","-0.971382101937516"
"111","1","60","hn","0.7","cov1",NA
"112","1","60","hn","0.7","cov2",NA
"113","1","60","hn","0.7","aic","-32.3583391761848"
"114","1","60","hn","0.7","varp","0.0396528416390741"
"115","1","60","hn+cov1","0.7","p","0.470167656107309"
"116","1","60","hn+cov1","0.7","b0","-0.973243604288993"
"117","1","60","hn+cov1","0.7","cov1","0.0382651431964085"
"118","1","60","hn+cov1","0.7","cov2",NA
"119","1","60","hn+cov1","0.7","aic","-30.4405535830908"
"120","1","60","hn+cov1","0.7","varp","0.0399210172493742"
"121","1","60","hn+cov1+cov2","0.7","p","0.436789960831419"
"122","1","60","hn+cov1+cov2","0.7","b0","-1.48993410753856"
"123","1","60","hn+cov1+cov2","0.7","cov1","-0.68456060863359"
"124","1","60","hn+cov1+cov2","0.7","cov2","1.09746001799829"
"125","1","60","hn+cov1+cov2","0.7","aic","-35.1247569851318"
"126","1","60","hn+cov1+cov2","0.7","varp","0.0464368687183915"
"127","2","60","hn","0.7","p","0.553616448782372"
"128","2","60","hn","0.7","b0","-0.788960740957282"
"129","2","60","hn","0.7","cov1",NA
"130","2","60","hn","0.7","cov2",NA
"131","2","60","hn","0.7","aic","-18.5685191756074"
"132","2","60","hn","0.7","varp","0.0559880440868666"
"133","2","60","hn+cov1","0.7","p","0.548276857481365"
"134","2","60","hn+cov1","0.7","b0","-0.770625712755338"
"135","2","60","hn+cov1","0.7","cov1","0.164424010337687"
"136","2","60","hn+cov1","0.7","cov2",NA
"137","2","60","hn+cov1","0.7","aic","-17.586716929974"
"138","2","60","hn+cov1","0.7","varp","0.055412181107919"
"139","2","60","hn+cov1+cov2","0.7","p","0.534643336063933"
"140","2","60","hn+cov1+cov2","0.7","b0","-1.05058823908938"
"141","2","60","hn+cov1+cov2","0.7","cov1","-0.387554992093631"
"142","2","60","hn+cov1+cov2","0.7","cov2","0.744869472221507"
"143","2","60","hn+cov1+cov2","0.7","aic","-17.9488022765098"
"144","2","60","hn+cov1+cov2","0.7","varp","0.0575170710426142"
"145","1","60","hn","0.8","p","0.561209378698901"
"146","1","60","hn","0.8","b0","-0.772637836145616"
"147","1","60","hn","0.8","cov1",NA
"148","1","60","hn","0.8","cov2",NA
"149","1","60","hn","0.8","aic","-17.5712491180679"
"150","1","60","hn","0.8","varp","0.0579496099144601"
"151","1","60","hn+cov1","0.8","p","0.557912759348187"
"152","1","60","hn+cov1","0.8","b0","-0.786596455237214"
"153","1","60","hn+cov1","0.8","cov1","-0.156859570010326"
"154","1","60","hn+cov1","0.8","cov2",NA
"155","1","60","hn+cov1","0.8","aic","-16.2741213209121"
"156","1","60","hn+cov1","0.8","varp","0.0572107331708788"
"157","1","60","hn+cov1+cov2","0.8","p","0.556839901745627"
"158","1","60","hn+cov1+cov2","0.8","b0","-0.84438081507899"
"159","1","60","hn+cov1+cov2","0.8","cov1","-0.327943565413018"
"160","1","60","hn+cov1+cov2","0.8","cov2","0.205106434276282"
"161","1","60","hn+cov1+cov2","0.8","aic","-14.4176406204244"
"162","1","60","hn+cov1+cov2","0.8","varp","0.057595190469876"
"163","2","60","hn","0.8","p","0.641986611461476"
"164","2","60","hn","0.8","b0","-0.597274193608292"
"165","2","60","hn","0.8","cov1",NA
"166","2","60","hn","0.8","cov2",NA
"167","2","60","hn","0.8","aic","-9.1127112031112"
"168","2","60","hn","0.8","varp","0.0623277809221674"
"169","2","60","hn+cov1","0.8","p","0.600772493741279"
"170","2","60","hn+cov1","0.8","b0","-0.468032342831499"
"171","2","60","hn+cov1","0.8","cov1","0.90670922037951"
"172","2","60","hn+cov1","0.8","cov2",NA
"173","2","60","hn+cov1","0.8","aic","-15.7058277055292"
"174","2","60","hn+cov1","0.8","varp","0.0692147099551338"
"175","2","60","hn+cov1+cov2","0.8","p","0.593557076168664"
"176","2","60","hn+cov1+cov2","0.8","b0","-0.576603003625565"
"177","2","60","hn+cov1+cov2","0.8","cov1","0.397395926352584"
"178","2","60","hn+cov1+cov2","0.8","cov2","0.951127968992941"
"179","2","60","hn+cov1+cov2","0.8","aic","-15.0605765306453"
"180","2","60","hn+cov1+cov2","0.8","varp","0.0822178420310303"
"181","1","60","hn","0.9","p","0.656154590936033"
"182","1","60","hn","0.9","b0","-0.565585259168723"
"183","1","60","hn","0.9","cov1",NA
"184","1","60","hn","0.9","cov2",NA
"185","1","60","hn","0.9","aic","-7.97833106724718"
"186","1","60","hn","0.9","varp","0.0769286901971292"
"187","1","60","hn+cov1","0.9","p","0.638773169463613"
"188","1","60","hn+cov1","0.9","b0","-0.527840972594604"
"189","1","60","hn+cov1","0.9","cov1","0.368673262240956"
"190","1","60","hn+cov1","0.9","cov2",NA
"191","1","60","hn+cov1","0.9","aic","-8.52580573079722"
"192","1","60","hn+cov1","0.9","varp","0.0747055474690256"
"193","1","60","hn+cov1+cov2","0.9","p","0.623548182338816"
"194","1","60","hn+cov1+cov2","0.9","b0","-0.734778436718319"
"195","1","60","hn+cov1+cov2","0.9","cov1","-1.2258513809917"
"196","1","60","hn+cov1+cov2","0.9","cov2","2.19150302114626"
"197","1","60","hn+cov1+cov2","0.9","aic","-10.6112868724205"
"198","1","60","hn+cov1+cov2","0.9","varp","0.0849301612080116"
"199","2","60","hn","0.9","p","0.478765740143183"
"200","2","60","hn","0.9","b0","-0.952777973388737"
"201","2","60","hn","0.9","cov1",NA
"202","2","60","hn","0.9","cov2",NA
"203","2","60","hn","0.9","aic","-30.7321852643139"
"204","2","60","hn","0.9","varp","0.0518478221701418"
"205","2","60","hn+cov1","0.9","p","0.478186902544456"
"206","2","60","hn+cov1","0.9","b0","-0.952109773259118"
"207","2","60","hn+cov1","0.9","cov1","-0.0586780445049712"
"208","2","60","hn+cov1","0.9","cov2",NA
"209","2","60","hn+cov1","0.9","aic","-28.8632315435021"
"210","2","60","hn+cov1","0.9","varp","0.0527484651656515"
"211","2","60","hn+cov1+cov2","0.9","p","0.470638110244494"
"212","2","60","hn+cov1+cov2","0.9","b0","-1.13651168567999"
"213","2","60","hn+cov1+cov2","0.9","cov1","-0.821151403014056"
"214","2","60","hn+cov1+cov2","0.9","cov2","0.8265888810164"
"215","2","60","hn+cov1+cov2","0.9","aic","-28.4882109365088"
"216","2","60","hn+cov1+cov2","0.9","varp","0.0617098943027383"
"217","1","120","hn","0.7","p","0.625614419980466"
"218","1","120","hn","0.7","b0","-0.633394085557288"
"219","1","120","hn","0.7","cov1",NA
"220","1","120","hn","0.7","cov2",NA
"221","1","120","hn","0.7","aic","-23.0818188053068"
"222","1","120","hn","0.7","varp","0.045061909642921"
"223","1","120","hn+cov1","0.7","p","0.618994199155301"
"224","1","120","hn+cov1","0.7","b0","-0.626996541064615"
"225","1","120","hn+cov1","0.7","cov1","0.323829040736961"
"226","1","120","hn+cov1","0.7","cov2",NA
"227","1","120","hn+cov1","0.7","aic","-24.5720211782604"
"228","1","120","hn+cov1","0.7","varp","0.0464057832480759"
"229","1","120","hn+cov1+cov2","0.7","p","0.618964521243689"
"230","1","120","hn+cov1+cov2","0.7","b0","-0.629499489362924"
"231","1","120","hn+cov1+cov2","0.7","cov1","0.319032900694817"
"232","1","120","hn+cov1+cov2","0.7","cov2","0.00580478431367818"
"233","1","120","hn+cov1+cov2","0.7","aic","-22.5722353883282"
"234","1","120","hn+cov1+cov2","0.7","varp","0.0465601786562066"
"235","2","120","hn","0.7","p","0.674402446046621"
"236","2","120","hn","0.7","b0","-0.524031050340906"
"237","2","120","hn","0.7","cov1",NA
"238","2","120","hn","0.7","cov2",NA
"239","2","120","hn","0.7","aic","-15.2926049199237"
"240","2","120","hn","0.7","varp","0.051760178104632"
"241","2","120","hn+cov1","0.7","p","0.667984626022817"
"242","2","120","hn+cov1","0.7","b0","-0.505486859052841"
"243","2","120","hn+cov1","0.7","cov1","-0.215076152535949"
"244","2","120","hn+cov1","0.7","cov2",NA
"245","2","120","hn+cov1","0.7","aic","-15.0813199130191"
"246","2","120","hn+cov1","0.7","varp","0.0513795666761889"
"247","2","120","hn+cov1+cov2","0.7","p","0.667854685362985"
"248","2","120","hn+cov1+cov2","0.7","b0","-0.468224830469563"
"249","2","120","hn+cov1+cov2","0.7","cov1","-0.134456505078391"
"250","2","120","hn+cov1+cov2","0.7","cov2","-0.108769630441377"
"251","2","120","hn+cov1+cov2","0.7","aic","-13.1245472896696"
"252","2","120","hn+cov1+cov2","0.7","varp","0.051611414557668"
"253","1","120","hn","0.8","p","0.557857433968314"
"254","1","120","hn","0.8","b0","-0.779842218937403"
"255","1","120","hn","0.8","cov1",NA
"256","1","120","hn","0.8","cov2",NA
"257","1","120","hn","0.8","aic","-38.0133924002162"
"258","1","120","hn","0.8","varp","0.0408586194954354"
"259","1","120","hn+cov1","0.8","p","0.554207052990612"
"260","1","120","hn+cov1","0.8","b0","-0.775001363013536"
"261","1","120","hn+cov1","0.8","cov1","-0.151003627849479"
"262","1","120","hn+cov1","0.8","cov2",NA
"263","1","120","hn+cov1","0.8","aic","-37.5236460796968"
"264","1","120","hn+cov1","0.8","varp","0.0408396797515948"
"265","1","120","hn+cov1+cov2","0.8","p","0.554169810236546"
"266","1","120","hn+cov1+cov2","0.8","b0","-0.756180972979672"
"267","1","120","hn+cov1+cov2","0.8","cov1","-0.0976826157395252"
"268","1","120","hn+cov1+cov2","0.8","cov2","-0.0694034423933106"
"269","1","120","hn+cov1+cov2","0.8","aic","-35.542275606981"
"270","1","120","hn+cov1+cov2","0.8","varp","0.0411734205860016"
"271","2","120","hn","0.8","p","0.493317291786994"
"272","2","120","hn","0.8","b0","-0.920238779646506"
"273","2","120","hn","0.8","cov1",NA
